index,video_id,youtube_url,title,original_duration_seconds,sample_start_seconds,sample_end_seconds,sample_duration_seconds,status,error
11,bsNXVUZ_BC8,https://www.youtube.com/watch?v=bsNXVUZ_BC8,عاجل:شاهد كلام بنكيران الذي لم يقله المعلقين و المحللين بعد فوز المغرب على كندا و هولندا,1857.0,868.5,988.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
12,E6VBWVEZJ4k,https://www.youtube.com/watch?v=E6VBWVEZJ4k,شاهد..هذا ما قاله مشاهير مغاربة وعرب قبل مباراة المنتخب المغربي ضد فرنسا كلمات مؤثرة,1958.0,919.0,1039.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
13,729D-C2-1do,https://www.youtube.com/watch?v=729D-C2-1do,الرئيس تبون: طرد المغاربة من الجزائر كلام فارغ.. وهم يعيشون وسط الشعب الجزائري ويعملون في الجزائر,80.0,,,120.0,too_short,
14,Eie0jMoG9U0,https://www.youtube.com/watch?v=Eie0jMoG9U0,"شاهد إعلامية مصرية تتحدى حسام حسن : ""ما علش أنا حفضل اشجع منتخب المغرب""",1537.0,708.5,828.5,120.0,selected,
15,jhG2y1Q2xns,https://www.youtube.com/watch?v=jhG2y1Q2xns,"""أحبك"" بالطريقة المغربية , الجزائرية والتونسية ... الكوميدي لطفي العبدلي",198.0,39.0,159.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
16,GEor31UZHIg,https://www.youtube.com/watch?v=GEor31UZHIg,كلمات سيئة في المغرب ولكن جميلة في لغات أخرى,36.0,,,120.0,too_short,
17,azbnqqYD18I,https://www.youtube.com/watch?v=azbnqqYD18I,"عندما قال بوتفليقة: نسامح ولكن لا ننسى المغاربة ""حكرونا حكرونا"".. وهذه أسباب هزيمتنا في حرب الرمال",59.0,,,120.0,too_short,
18,UzHsywuV99s,https://www.youtube.com/watch?v=UzHsywuV99s,كلمات في الدارجة المغربية و العامية أصلها عربي فصيح | حميد الفتح,294.0,87.0,207.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
19,_2pTF5RRZAM,https://www.youtube.com/watch?v=_2pTF5RRZAM,كلام مغربي في الصميم على الزوجة الصالحة الله يعطيك الصحة ألالة,83.0,,,120.0,too_short,
20,FRKUIstc-zc,https://www.youtube.com/watch?v=FRKUIstc-zc,حدا يشرحلها أنو ذي مو اللهجة المغربية😂💖💜,10.0,,,120.0,too_short,
21,8mU3F3T8XH4,https://www.youtube.com/watch?v=8mU3F3T8XH4,"خواطر مغربية , كلمات باللهجة المغربية , شعر غزل مغربي بالدارجة",112.0,,,120.0,too_short,
22,vcyFq8u9_So,https://www.youtube.com/watch?v=vcyFq8u9_So,أحسن مقلد لهجات في المغرب عاد إليكم من جديد 🤪😍,127.0,3.5,123.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
23,,https://www.youtube.com/watch?v=cz8JckOQyoI,,,,,120.0,unavailable,ERROR: [youtube] cz8JckOQyoI: This video is not available
24,emwN1GL21Vg,https://www.youtube.com/watch?v=emwN1GL21Vg,"3 طرق للرد على ""حشيان الهضرة"" بلا حشمة بلا إحراج - عزيز أفكار Aziz afkar",1251.0,565.5,685.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
25,RPzmc_lfkOg,https://www.youtube.com/watch?v=RPzmc_lfkOg,حشيان الهضرة   أمثال مغربية روعة - الجزء 1,373.0,126.5,246.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
26,3UsMJy5odrk,https://www.youtube.com/watch?v=3UsMJy5odrk,كلارنس و سعيد بالدارجة المغربية +18,163.0,21.5,141.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
27,_etXCOxf8Lg,https://www.youtube.com/watch?v=_etXCOxf8Lg,خطير جدا .طفل افريقي كيخصر الهدرة بالدارجة المغربية  ( المعدرة من الكلام النابي في الفيديو),37.0,,,120.0,too_short,
28,cdy_zCSyedg,https://www.youtube.com/watch?v=cdy_zCSyedg,Tarjama maroc +18الأستاذ الخاسر,195.0,37.5,157.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
29,H30u3jvT46k,https://www.youtube.com/watch?v=H30u3jvT46k,"بعض الكلمات من ""الهضرة الوجدية"" واللهجة الشرقية المغربية 😍🇲🇦🔥#اللهجة #المغرب #وجدة #اكسبلور #oujda",276.0,78.0,198.0,120.0,selected,
30,zQRmmD8fTwg,https://www.youtube.com/watch?v=zQRmmD8fTwg,حشيان الهضرة بالدارجة المغربية 2020,30.0,,,120.0,too_short,
31,b6TWxE69t88,https://www.youtube.com/watch?v=b6TWxE69t88,الجزائر تتحدى المغرب _ تحدي نار 🔥😱😂,117.0,,,120.0,too_short,
32,eQzEUXZYlPU,https://www.youtube.com/watch?v=eQzEUXZYlPU,لسان لحم البقر  قليل لي يطيبو غير جربوه بهاد الطريقة,339.0,109.5,229.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
33,REfabHxIPok,https://www.youtube.com/watch?v=REfabHxIPok,لسان البقر او لعجل بالحمص على الطريقة المغربية واحد البنة خييييييييييييال 😋,202.0,41.0,161.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
34,pumEVvpooVc,https://www.youtube.com/watch?v=pumEVvpooVc,رسائل في التصحيح اللغوي - عثرات اللسان - عبدالقادر المغربي,90.0,,,120.0,too_short,
35,oqG4xie0xW8,https://www.youtube.com/watch?v=oqG4xie0xW8,لسان البقري بالحمص والزبيب شهيوة مغربية,247.0,63.5,183.5,120.0,selected,
36,y13OQ5z3nNI,https://www.youtube.com/watch?v=y13OQ5z3nNI,Choumicha : Langue de Veau aux Pois Chiches | شميشة : طاجين لسان العجل بالحمص,116.0,,,120.0,too_short,
37,WO4H-z5uN-U,https://www.youtube.com/watch?v=WO4H-z5uN-U,"فيــ.  ـروس ""اللسان الأزرق"" ينتشر وسط الأغنام ويُهدد معيشة الكسابة بمنطقة الغرب",202.0,41.0,161.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
38,IVbhp1fqzXI,https://www.youtube.com/watch?v=IVbhp1fqzXI,قصيدة نطقَ اللسانُ | الشيخ عبدالواحد المغربي |,109.0,,,120.0,too_short,
39,BB31irYIeg4,https://www.youtube.com/watch?v=BB31irYIeg4,"تدريبات النطق باللهجة المغربية | أعضاء الجسم "" لسان "" | تعلم اللهجة المغربية |محمد خضير",112.0,,,120.0,too_short,
40,7zMRhsd6q7A,https://www.youtube.com/watch?v=7zMRhsd6q7A,الطبخ المغربي طريقة روعة في تحضير  لسان العجل مع سر لذة خطير 👌😉,287.0,83.5,203.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
41,wlydOwZIJuI,https://www.youtube.com/watch?v=wlydOwZIJuI,الدّارجة المغربية - تاريخ البداية,180.0,30.0,150.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
42,hsqfUR_FMzU,https://www.youtube.com/watch?v=hsqfUR_FMzU,قاموس الدارجة المغربية.. صراع بين الفصحى والعامية!!,163.0,21.5,141.5,120.0,selected,
43,p9s7KNt8yoI,https://www.youtube.com/watch?v=p9s7KNt8yoI,الدّارجة المغربية - القواعد الصوتية,298.0,89.0,209.0,120.0,selected,
44,1LwRLfELMW0,https://www.youtube.com/watch?v=1LwRLfELMW0,حديث طه حسين عن اللهجة الدارجة المغربية أثناء تناوله لأشكال اللغة الفصحى والعامية,171.0,25.5,145.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
45,Aonsekc-rpo,https://www.youtube.com/watch?v=Aonsekc-rpo,الدارجة المغربية أقرب الدوارج للعربية الفصحى,84.0,,,120.0,too_short,
46,kwrfZX1sycc,https://www.youtube.com/watch?v=kwrfZX1sycc,فنانة مصرية تعلم اعلامي مصري اللهجة المغربية 🇲🇦 ❤️ 🇪🇬,71.0,,,120.0,too_short,
47,--fWedkCYbo,https://www.youtube.com/watch?v=--fWedkCYbo,الحرب العالمية الأولى كاملة (3 ساعات) | شرح شامل بالدارجة المغربية,11340.0,5610.0,5730.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
48,uuVRsq1bXUE,https://www.youtube.com/watch?v=uuVRsq1bXUE,أغنية المنتخب المغربي كأس العالم 2026 | DIMA MAGHRIB (Allez Allez) Morocco World Cup Song,135.0,7.5,127.5,120.0,selected,
49,r94MoJ-kuZc,https://www.youtube.com/watch?v=r94MoJ-kuZc,The World Ignored Morocco... Now It's Too Late!!!,735.0,307.5,427.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
50,sVhsug5NePs,https://www.youtube.com/watch?v=sVhsug5NePs,عاجل🔴انفجــار بن شيخ على لقرع...يبكي بعد اقصاء مصر.... ويتمنى اقصاء المغرب من المونديال ضد فرنسا,2285.0,1082.5,1202.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
51,kbVF3yK0g00,https://www.youtube.com/watch?v=kbVF3yK0g00,المغرب ضد فرنسا.. هل حان وقت الثأر من 2022؟ 🔥🇲🇦🇫🇷,502.0,191.0,311.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
52,eY2qIrq4uPc,https://www.youtube.com/watch?v=eY2qIrq4uPc,المغاربة يجب ان يسمعو قبل المباراة: ارسين فينغر يوجه استفزازا ضد المنتخب المغربي قبل مباراة فرنسا,509.0,194.5,314.5,120.0,selected,
53,mHFWO6cmx7o,https://www.youtube.com/watch?v=mHFWO6cmx7o,ما اللغة التي كان يتكلم بها المغاربة في حياتهم اليومية؟,330.0,105.0,225.0,120.0,selected,
54,XjADlVNsF68,https://www.youtube.com/watch?v=XjADlVNsF68,كيف يفهم المغاربة لهجة المشارقة، ولا يفهم المشارقة اللهجة المغربية؟ محمد القفاري,211.0,45.5,165.5,120.0,selected,
55,ho5RBEU0v58,https://www.youtube.com/watch?v=ho5RBEU0v58,100 EVERYDAY SETENECES | Learn English To Darija (Moroccan Arabic),1005.0,442.5,562.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
56,AGlFChj0sYg,https://www.youtube.com/watch?v=AGlFChj0sYg,المغاربة و اللغات (E18) micro ghassan,699.0,289.5,409.5,120.0,selected,
57,XBKyYI-Pr6w,https://www.youtube.com/watch?v=XBKyYI-Pr6w,المغاربة ولغة الأرقام أرقام مغربية مستحيل فهمها ورقم مغربي غريب حير العالم اللي يعرف يشرح لينا 🤣,798.0,339.0,459.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
58,XuMINNeaquQ,https://www.youtube.com/watch?v=XuMINNeaquQ,الدرس 01:أكتر المفردات المتداولة يوميا عند المغاربة,84.0,,,120.0,too_short,
59,65diFD9f8AA,https://www.youtube.com/watch?v=65diFD9f8AA,لغة الفلوس والأموال لغة خاصة يتقنها المغاربة فقط🇲🇦,804.0,342.0,462.0,120.0,selected,
60,myb6zEP8H7g,https://www.youtube.com/watch?v=myb6zEP8H7g,Moroccan Arabic (Darija) with Ms Rattab,15.0,,,120.0,too_short,
61,kLvXY8YLDOE,https://www.youtube.com/watch?v=kLvXY8YLDOE,Moroccan Dialect Vs Standard Arabic,431.0,155.5,275.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
62,v6x_6K0OR3w,https://www.youtube.com/watch?v=v6x_6K0OR3w,Moroccan DARIJA (An Arabic Dialect??),1003.0,441.5,561.5,120.0,selected,
63,NALLbb_AC8I,https://www.youtube.com/watch?v=NALLbb_AC8I,Very Common and Super Useful Expressions to know as a tourist in Morocco!,754.0,317.0,437.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
64,Teg9LZ10SZA,https://www.youtube.com/watch?v=Teg9LZ10SZA,Learn Moroccan Arabic(Darija): 20 Essential Phrases,416.0,148.0,268.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
65,2O7Vcw_pw_o,https://www.youtube.com/watch?v=2O7Vcw_pw_o,Learn Moroccan Arabic / Lesson 1: GREETINGS !,562.0,221.0,341.0,120.0,selected,
66,hMvOvOYULIc,https://www.youtube.com/watch?v=hMvOvOYULIc,100 Moroccan Arabic phrases & expressions you need to know!!,1489.0,684.5,804.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
67,xZIf42XIJ1g,https://www.youtube.com/watch?v=xZIf42XIJ1g,Moroccan Colloquial Arabic Vocabulary (Topics 1-7),2571.0,1225.5,1345.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
68,2n0TXM37FZc,https://www.youtube.com/watch?v=2n0TXM37FZc,Moroccan Colloquial Arabic Vocabulary (Topics 44-57),2444.0,1162.0,1282.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
69,uMi_zQXUgjU,https://www.youtube.com/watch?v=uMi_zQXUgjU,Moroccan Arabic: Lesson 12 / At The Cafe,700.0,290.0,410.0,120.0,selected,
70,yypoQRb5ndo,https://www.youtube.com/watch?v=yypoQRb5ndo,Moroccan Arabic: Lesson 13 / Family,372.0,126.0,246.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
71,vMUwsXgkGTU,https://www.youtube.com/watch?v=vMUwsXgkGTU,Apprendre le marocain ( Darija ) #1: les salutations,797.0,338.5,458.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
72,rR2wLfZW5uU,https://www.youtube.com/watch?v=rR2wLfZW5uU,Apprendre les chiffres en Darija Marocaine de 0 à 9 - Arabe Dialectal Marocain,90.0,,,120.0,too_short,
73,9lxe4CHCju4,https://www.youtube.com/watch?v=9lxe4CHCju4,7shoma / حشومة | What It Really Means in Moroccan Arabic ? Darija Word of the Day:,81.0,,,120.0,too_short,
74,Dds-nqAzfWs,https://www.youtube.com/watch?v=Dds-nqAzfWs,darija : Arabe marocain,16.0,,,120.0,too_short,
75,I76a0ckr3FI,https://www.youtube.com/watch?v=I76a0ckr3FI,Les registres de langue | مستويات اللغة,411.0,145.5,265.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
76,-IQ61nnWMIM,https://www.youtube.com/watch?v=-IQ61nnWMIM,100 phrases et expressions arabes pour la vie quotidienne avec Explications Partie1 #apprendrearabe,1001.0,440.5,560.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
77,Pko_U6r50vU,https://www.youtube.com/watch?v=Pko_U6r50vU,Ramadan Expressions in Darija | Learn Moroccan Darija for the Holy Month,1246.0,563.0,683.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
78,qiQnMqQPpWU,https://www.youtube.com/watch?v=qiQnMqQPpWU,Learning The Moroccan Arabic Dialect Darija!,642.0,261.0,381.0,120.0,selected,
79,veWhUm3zRY4,https://www.youtube.com/watch?v=veWhUm3zRY4,Numbers from 1 to 10 in Moroccan Arabic Darija,19.0,,,120.0,too_short,
80,GiMg9hsSkdQ,https://www.youtube.com/watch?v=GiMg9hsSkdQ,Easy Conversation for Beginners | Learn with Mr.  Darija | Moroccan Darija Podcast,394.0,137.0,257.0,120.0,selected,
81,v-2NfRAeAxQ,https://www.youtube.com/watch?v=v-2NfRAeAxQ,🇲🇦❓ Que dit-il en Darija Marocain ? | Maroc Émoi |,757.0,318.5,438.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
82,YwVT4CdJWDs,https://www.youtube.com/watch?v=YwVT4CdJWDs,Izza إيزا - Sma3 A Sidi Sma3 سمع آ سيدي سمع | Casablanca Aïta Jazz | Morocco Spirit,307.0,93.5,213.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
83,Zz175rkQ7bI,https://www.youtube.com/watch?v=Zz175rkQ7bI,Film Marocain - Sarkha man Alam akhr  فيلم مغربي -  صرخة منعالم اخر,5880.0,2880.0,3000.0,120.0,selected,
